Issues / Notes	Ontology ID	parent class ID	parent class	Equivalence axiom	label	definition	is about	is about label (for reference only)	references	definition source	alternative label	Reported	term tracker item	entity type	created	alt definition	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym
	ID	SC % SPLIT=|	SC % SPLIT=|	EC %	AL rdfs:label@en	AL IAO:0000115@en	SC 'is about' some %			A IAO:0000119 SPLIT=|	AL IAO:0000118@en SPLIT=|		A IAO:0000233 SPLIT=|	TYPE	AT dc:date^^xsd:dateTime		AL rdfs:comment@en	A IAO:0000112	A dc:contributor SPLIT=|	A IAO:0000114	A IAO:0000116	AI oboInOwl:hasDbXref SPLIT=|	A rdfs:seeAlso SPLIT=|	SC % SPLIT=|		AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|
	GENEPIO:0101892	COB:0000502	characteristic		binding affinity	The strength of the interaction between two (or more than two) molecules that bind reversibly (interact).				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3565702/				Class															
	GENEPIO:0101924		variant functional effect|binding affinity		altered binding affinity	A binding affinity that has been altered in comparison to some reference binding affinity.								Class															
	GENEPIO:0101925		altered binding affinity		increased binding affinity	A binding affinity that has been increased in comparison to some reference binding affinity.								Class															
	GENEPIO:0101926		altered binding affinity		decreased binding affinity	A binding affinity that has been decreased in comparison to some reference binding affinity.								Class															
	GENEPIO:0102078		variant functional effect		altered posttranslational modification	An alteration in the process of covalently adding a chemical group to an amino acid in a protein after the protein has been synthesized, in comparison to some reference posttranslational modification.	GO:0043687	post-translational protein modification		https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/posttranslational-modification				Class															
	GENEPIO:0102079		altered posttranslational modification		altered posttranslational modification mechanism	A posttranslational modification mechanism that has been increased in comparison to some reference posttranslational modification mechanism.								Class															
	GENEPIO:0101893		altered posttranslational modification		altered posttranslational modification rate	A posttranslational modification rate that has been altered in comparison to some reference posttranslational modification rate.								Class															
	GENEPIO:0101927		altered posttranslational modification rate		increased posttranslational modification rate	A posttranslational modification rate that has been increased in comparison to some reference posttranslational modification rate.								Class															
	GENEPIO:0101928		altered posttranslational modification rate		decreased posttranslational modification rate	A posttranslational modification rate that has been decreased in comparison to some reference posttranslational modification rate.								Class															
	GENEPIO:0102080		variant functional effect		altered dimerization	An alteration in the process of joining two identical or similar molecular entities by bonds, in comparison to some reference dimerization.	GO:0046983	protein dimerization activity		https://en.wikipedia.org/wiki/Dimerization				Class															
	GENEPIO:0102081		altered dimerization		altered dimerization mechanism	A mechanism of joining two identical or similar molecular entities by bonds that has been altered in comparison to some reference dimerization mechanism.								Class															
	GENEPIO:0101894		altered dimerization		altered dimerization rate	A rate of joining two identical or similar molecular entities by bonds that has been altered in comparison to some reference dimerization rate.								Class															
	GENEPIO:0101929		altered dimerization rate		increased dimerization rate	A dimerization rate that has been increased in comparison to some reference dimerization rate.								Class															
	GENEPIO:0101930		altered dimerization rate		decreased dimerization rate	A dimerization rate that has been decreased in comparison to some reference dimerization rate.								Class															
	GENEPIO:0102082		variant functional effect		altered proteolysis	An alteration in the process of breakdown of proteins into smaller polypeptides or amino acids, in comparison to some reference proteolysis.	GO:0006508	proteolysis						Class															
	GENEPIO:0102083		altered proteolysis		altered proteolysis mechanism	A proteolysis mechanism that has been altered in comparison to some reference proteolysis mechanism.								Class															
	GENEPIO:0101895		altered proteolysis		altered proteolysis rate	A proteolysis rate that has been altered in comparison to some reference proteolysis rate.				https://en.wikipedia.org/wiki/Proteolysis				Class															
	GENEPIO:0101931		altered proteolysis rate		increased proteolysis rate	A proteolysis rate that has been increased in comparison to some reference proteolysis rate.								Class															
	GENEPIO:0101932		altered proteolysis rate		decreased proteolysis rate	A proteolysis rate that has been decreased in comparison to some reference proteolysis rate.								Class															
	GENEPIO:0102069	GENEPIO:0101127 | IDO:0000466	variant functional effect|virulence		altered virulence	A virulence that has been altered as compared to some reference virulence.								Class															
	GENEPIO:0102070		altered virulence		increased virulence	A virulence that has been increased as compared to some reference virulence.								Class															
	GENEPIO:0102071		altered virulence		decreased virulence	A virulence that has been decreased as compared to some reference virulence.								Class															
	GENEPIO:0102072	COB:0000502	characteristic		infectious agent host tropism	The infection specificity of an infectious agent to particular hosts and host tissues.				https://en.wikipedia.org/wiki/Host_tropism				Class															
	GENEPIO:0102073		variant functional effect|infectious agent host tropism		altered infectious agent host tropism	An infectious agent host tropism that has been altered as compared to a reference infectious agent host tropism.	GO:0098678	viral tropism switching						Class															
	GENEPIO:0101907	COB:0000502	characteristic		detectability of infectious agent	The extent to which an infectious agent is detectable.				https://en.wiktionary.org/wiki/detectability				Class															
	GENEPIO:0101940		variant functional effect|detectability of infectious agent		altered detectability of infectious agent	A detectability of infectious agent that has been altered as compared to some reference detectability of infectious agent.								Class															
	GENEPIO:0101941		altered detectability of infectious agent		increased detectability of infectious agent	A detectability of infectious agent that has been increased as compared to some reference detectability of infectious agent.								Class															
	GENEPIO:0101942		altered detectability of infectious agent		decreased detectability of infectious agent	A detectability of infectious agent that has been decreased as compared to some reference detectability of infectious agent.								Class															
	GENEPIO:0101908	IDO:0000467	susceptibility		susceptibility of infectious agent to environmental condition	An environmental condition susceptibility that inheres in an infectious agent and is the degree to which the infectious agent can be harmed or inhibited by an environmental condition.								Class															
	GENEPIO:0101943		variant functional effect|susceptibility of infectious agent to environmental condition		altered susceptibility of infectious agent to environmental condition	A susceptibility of infectious agent to environmental condition that has been altered as compared to some reference susceptibility of infectious agent to environmental condition.								Class															
	GENEPIO:0101944		altered susceptibility of infectious agent to environmental condition		increased susceptibility of infectious agent to environmental condition	A susceptibility of infectious agent to environmental condition that has been increased as compared to some reference susceptibility of infectious agent to environmental condition.								Class															
	GENEPIO:0101945		altered susceptibility of infectious agent to environmental condition		decreased susceptibility of infectious agent to environmental condition	A susceptibility of infectious agent to environmental condition that has been decreased as compared to some reference susceptibility of infectious agent to environmental condition.								Class															
	GENEPIO:0101946		decreased susceptibility of infectious agent to environmental condition		resistance of infectious agent to environmental condition	The absence of susceptibility of an infectious agent to an environmental condition.								Class															
	GENEPIO:0101909		susceptibility of infectious agent to environmental condition		susceptibility of infectious agent to temperature condition	A temperature condition susceptibility that inheres in an infectious agent and is the degree to which the infectious agent can be harmed or inhibited by a temperature condition.								Class															
	GENEPIO:0101947		variant functional effect|susceptibility of infectious agent to temperature condition		altered susceptibility of infectious agent to temperature condition	A susceptibility of infectious agent to temperature condition that has been altered as compared to some reference susceptibility of infectious agent to temperature condition.								Class															
	GENEPIO:0101948		altered susceptibility of infectious agent to temperature condition		increased susceptibility of infectious agent to temperature condition	A susceptibility of infectious agent to temperature condition that has been increased as compared to some reference susceptibility of infectious agent to temperature condition.								Class															
	GENEPIO:0101949		altered susceptibility of infectious agent to temperature condition		decreased susceptibility of infectious agent to temperature condition	A susceptibility of infectious agent to temperature condition that has been decreased as compared to some reference susceptibility of infectious agent to temperature condition.								Class															
	GENEPIO:0101950		decreased susceptibility of infectious agent to temperature condition		resistance of infectious agent to temperature condition	The absence of susceptibility of an infectious agent to a temperature condition.								Class															
	GENEPIO:0101910	IDO:0000467	susceptibility		antipathogenic agent susceptibility of infectious agent	An antipathogenic agent susceptibility that inheres in an infectious agent and is the degree to which the infectious agent can be harmed or inhibited by an antipathogenic agent.								Class															
	GENEPIO:0101951		variant functional effect|antipathogenic agent susceptibility of infectious agent		altered antipathogenic agent susceptibility of infectious agent	A susceptibility of infectious agent to antipathogenic agent that has been altered as compared to some reference susceptibility of infectious agent to antipathogenic agent.								Class															
	GENEPIO:0101952		altered antipathogenic agent susceptibility of infectious agent		increased antipathogenic agent susceptibility of infectious agent	A susceptibility of infectious agent to antipathogenic agent that has been increased as compared to some reference susceptibility of infectious agent to antipathogenic agent.								Class															
	GENEPIO:0101953		altered antipathogenic agent susceptibility of infectious agent		decreased antipathogenic agent susceptibility of infectious agent	A susceptibility of infectious agent to antipathogenic agent that has been decreased as compared to some reference susceptibility of infectious agent to antipathogenic agent.								Class															
	GENEPIO:0101954		decreased antipathogenic agent susceptibility of infectious agent		antipathogenic agent resistance of infectious agent	The absence of susceptibility of an infectious agent to a antipathogenic agent.								Class															
	GENEPIO:0101911		antipathogenic agent susceptibility of infectious agent		therapeutic agent susceptibility of infectious agent	A therapeutic agent susceptibility that inheres in an infectious agent and is the degree to which the infectious agent can be harmed or inhibited by an therapeutic agent.								Class															
	GENEPIO:0101955		variant functional effect|therapeutic agent susceptibility of infectious agent		altered therapeutic agent susceptibility of infectious agent	A susceptibility of infectious agent to therapeutic agent that has been altered as compared to some reference susceptibility of infectious agent to therapeutic agent.								Class															
	GENEPIO:0101956		altered therapeutic agent susceptibility of infectious agent		increased therapeutic agent susceptibility of infectious agent	A susceptibility of infectious agent to therapeutic agent that has been increased as compared to some reference susceptibility of infectious agent to therapeutic agent.								Class															
	GENEPIO:0101957		altered therapeutic agent susceptibility of infectious agent		decreased therapeutic agent susceptibility of infectious agent	A susceptibility of infectious agent to therapeutic agent that has been decreased as compared to some reference susceptibility of infectious agent to therapeutic agent.								Class															
	GENEPIO:0101958		decreased therapeutic agent susceptibility of infectious agent		therapeutic agent resistance of infectious agent	The absence of susceptibility of an infectious agent to a therapeutic agent.								Class															
	GENEPIO:0101912		therapeutic agent susceptibility of infectious agent		monoclonal antibody susceptibility of infectious agent	A monoclonal antibody susceptibility that inheres in an infectious agent and is the degree to which the infectious agent can be harmed or inhibited by an monoclonal antibody.	GO:0003823	antigen binding						Class															
	GENEPIO:0101959		variant functional effect|monoclonal antibody susceptibility of infectious agent		altered monoclonal antibody susceptibility of infectious agent	A susceptibility of infectious agent to monoclonal antibody that has been altered as compared to some reference susceptibility of infectious agent to monoclonal antibody.								Class															
	GENEPIO:0101960		altered monoclonal antibody susceptibility of infectious agent		increased monoclonal antibody susceptibility of infectious agent	A susceptibility of infectious agent to monoclonal antibody that has been increased as compared to some reference susceptibility of infectious agent to monoclonal antibody.								Class															
	GENEPIO:0101961		altered monoclonal antibody susceptibility of infectious agent		decreased monoclonal antibody susceptibility of infectious agent	A susceptibility of infectious agent to monoclonal antibody that has been decreased as compared to some reference susceptibility of infectious agent to monoclonal antibody.								Class															
	GENEPIO:0101962		decreased monoclonal antibody susceptibility of infectious agent		monoclonal antibody resistance of infectious agent	The absence of susceptibility of an infectious agent to a monoclonal antibody.								Class															
	GENEPIO:0101913		therapeutic agent susceptibility of infectious agent		convalescent plasma susceptibility of infectious agent	A convalescent plasma susceptibility that inheres in an infectious agent and is the degree to which the infectious agent can be harmed or inhibited by an convalescent plasma.								Class															
	GENEPIO:0101963		variant functional effect|convalescent plasma susceptibility of infectious agent		altered convalescent plasma susceptibility of infectious agent	A susceptibility of infectious agent to convalescent plasma that has been altered as compared to some reference susceptibility of infectious agent to convalescent plasma.								Class															
